EQUIPE,JOGADOR,POSICAO,ID,Q,TEMPO,MOMENTO,DURACAO,FUNDAMENTO
Atlético-GO,Edson,Volante,46579023,14,4,2246,4,passe
Atlético-GO,João Victor,Zagueiro,46578872,30,4,2172,4,passe
Atlético-MG,Nathan,Meia,46578395,14,4,1907,4,passe
Atlético-GO,João Victor,Zagueiro,46578372,17,4,1886,4,passe
Atlético-MG,Alan Franco,Meia,46578266,30,4,1806,4,passe
Atlético-MG,Mariano,Lateral direito,46578251,12,4,1797,4,passe
Atlético-GO,Jean,Goleiro,46578156,9,4,1743,4,passe
Atlético-GO,João Victor,Zagueiro,46577928,6,4,1594,4,faltaCometida
Atlético-GO,Renato Kayzer,Atacante,46577553,28,4,1424,4,passe
Atlético-GO,Renato Kayzer,Atacante,46576941,15,4,1222,4,passe
Atlético-GO,Chico,Meia,46576580,23,4,1075,4,viradaDeJogo
Atlético-GO,João Victor,Zagueiro,46576575,24,4,1071,4,passe
Atlético-GO,Jean,Goleiro,46576475,4,4,1023,4,passe
Atlético-MG,Jair,Volante,46575994,22,4,865,4,passe
Atlético-MG,Alan Franco,Meia,46575576,30,4,696,4,passe
Atlético-GO,Jean,Goleiro,46575115,2,4,536,4,passe
Atlético-MG,Savarino,Meia,46573991,29,4,74,4,passe
Atlético-GO,Renato Kayzer,Atacante,46573774,15,4,3,4,passe
Atlético-MG,Allan,Volante,46570561,14,2,2764,3,faltaRecebida
Atlético-MG,Junior Alonso,Lateral esquerdo,46570374,14,2,2708,3,passe
Atlético-MG,Guga,Lateral direito,46570324,6,2,2694,3,rebatida
Atlético-MG,Allan,Volante,46570169,14,2,2655,3,passe
Atlético-GO,Oliveira,Zagueiro,46570063,23,2,2627,3,passe
Atlético-MG,Guga,Lateral direito,46569620,36,2,2491,3,passe
Atlético-GO,Chico,Meia,46569471,31,2,2430,3,passe
Atlético-MG,Allan,Volante,46568601,26,2,2075,3,passe
Atlético-MG,Savarino,Meia,46568033,33,2,1828,3,finalizacao
Atlético-MG,Keno,Atacante,46567997,32,2,1818,3,cruzamento
Atlético-MG,Junior Alonso,Lateral esquerdo,46567930,15,2,1798,3,passe
Atlético-MG,Guga,Lateral direito,46567874,6,2,1774,3,faltaRecebida
Atlético-MG,Réver,Zagueiro,46567618,10,2,1686,3,passe
Atlético-MG,Savarino,Meia,46567529,23,2,1654,3,viradaDeJogo
Atlético-GO,Nicolas,Lateral esquerdo,46567481,31,2,1640,3,perdaPosseDeBola
Atlético-GO,Gustavo Ferrareis,Meia,46567302,20,2,1587,3,passe
Atlético-GO,Nicolas,Lateral esquerdo,46567112,3,2,1539,3,rebatida
Atlético-MG,Réver,Zagueiro,46566166,15,2,1305,3,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46566153,14,2,1301,3,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46566138,14,2,1294,3,passe
Atlético-MG,Allan,Volante,46564970,21,2,965,3,passe
Atlético-MG,Savarino,Meia,46564941,29,2,959,3,passe
Atlético-GO,Dudu,Lateral direito,46564319,30,2,808,3,passe
Atlético-GO,Oliveira,Zagueiro,46564257,15,2,789,3,passe
Atlético-GO,Jean,Goleiro,46564232,3,2,782,3,passe
Atlético-MG,Allan,Volante,46563851,7,2,683,3,passe
Atlético-MG,Réver,Zagueiro,46563540,10,2,541,3,lancamento
Atlético-MG,Junior Alonso,Lateral esquerdo,46563456,8,2,512,3,passe
Atlético-MG,Alan Franco,Meia,46563269,17,2,428,3,faltaCometida
Atlético-MG,Jair,Volante,46563124,29,2,378,3,viradaDeJogo
Atlético-MG,Eduardo Sasha,Atacante,46563115,30,2,374,3,passe
Atlético-GO,Janderson,Atacante,46562820,27,2,261,3,passe
Atlético-GO,Jean,Goleiro,46562532,4,2,143,3,rebatida
Atlético-MG,Everson,Goleiro,46562485,4,2,123,3,passe
Atlético-MG,Alan Franco,Meia,46562411,36,2,98,3,faltaCometida
Atlético-GO,Edson,Volante,46562431,1,2,90,3,drible
Atlético-GO,Chico,Meia,46562295,23,2,54,3,passe
Atlético-GO,Chico,Meia,46562242,18,2,37,3,passe
Atlético-MG,Everson,Goleiro,46580251,4,4,2809,3,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46580237,8,4,2798,3,passe
Atlético-GO,Gilvan,Zagueiro,46580214,8,4,2785,3,passe
Atlético-MG,Mariano,Lateral direito,46580162,12,4,2760,3,passe
Atlético-MG,Jair,Volante,46579976,14,4,2669,3,faltaRecebida
